Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZCAT15,EP,0,0.01223391194051493
NSGAII,ZCAT15,EP,1,0.011511410024844348
NSGAII,ZCAT15,EP,2,0.009131598100481475
NSGAII,ZCAT15,EP,3,0.011230382894362068
NSGAII,ZCAT15,EP,4,0.012884600299631344
NSGAII,ZCAT15,EP,5,0.010872646185568047
NSGAII,ZCAT15,EP,6,0.010958244038146048
NSGAII,ZCAT15,EP,7,0.010453007392818514
NSGAII,ZCAT15,EP,8,0.011514591446481884
NSGAII,ZCAT15,EP,9,0.011895366149390796
NSGAII,ZCAT15,EP,10,0.009011435587330419
NSGAII,ZCAT15,EP,11,0.01293769821540347
NSGAII,ZCAT15,EP,12,0.011374162696453083
NSGAII,ZCAT15,EP,13,0.00909618395653089
NSGAII,ZCAT15,EP,14,0.010842156431330796
NSGAII,ZCAT15,EP,15,0.010844857742847547
NSGAII,ZCAT15,EP,16,0.011143844393569129
NSGAII,ZCAT15,EP,17,0.014890843042274615
NSGAII,ZCAT15,EP,18,0.014211902857692804
NSGAII,ZCAT15,EP,19,0.012237958269096127
NSGAII,ZCAT15,EP,20,0.012237704142115668
NSGAII,ZCAT15,EP,21,0.01189615356317647
NSGAII,ZCAT15,EP,22,0.012823394157667922
NSGAII,ZCAT15,EP,23,0.012716093663597217
NSGAII,ZCAT15,EP,24,0.012568037528684774
NSGAII,ZCAT15,EP,25,0.013695195158368922
NSGAII,ZCAT15,EP,26,0.01235597909019126
NSGAII,ZCAT15,EP,27,0.012644029593010697
NSGAII,ZCAT15,EP,28,0.010560081866833881
NSGAII,ZCAT15,EP,29,0.0161422187569632
NSGAII,ZCAT16,EP,0,0.012303201870750957
NSGAII,ZCAT16,EP,1,0.014173643051705716
NSGAII,ZCAT16,EP,2,0.01073414384654281
NSGAII,ZCAT16,EP,3,0.014624597607433246
NSGAII,ZCAT16,EP,4,0.011404532213218577
NSGAII,ZCAT16,EP,5,0.010164934336316295
NSGAII,ZCAT16,EP,6,0.010975967769968419
NSGAII,ZCAT16,EP,7,0.014617977652566005
NSGAII,ZCAT16,EP,8,0.01234648021290552
NSGAII,ZCAT16,EP,9,0.014275853403112326
NSGAII,ZCAT16,EP,10,0.011127455915694529
NSGAII,ZCAT16,EP,11,0.010357206818082054
NSGAII,ZCAT16,EP,12,0.012669214135682616
NSGAII,ZCAT16,EP,13,0.011430013119305416
NSGAII,ZCAT16,EP,14,0.011221808381886467
NSGAII,ZCAT16,EP,15,0.013220537782636849
NSGAII,ZCAT16,EP,16,0.010985048789435042
NSGAII,ZCAT16,EP,17,0.01156504877366793
NSGAII,ZCAT16,EP,18,0.012090141123183629
NSGAII,ZCAT16,EP,19,0.010740362079100785
NSGAII,ZCAT16,EP,20,0.012538940551792943
NSGAII,ZCAT16,EP,21,0.010637508064218038
NSGAII,ZCAT16,EP,22,0.012274644625448028
NSGAII,ZCAT16,EP,23,0.011257976878272014
NSGAII,ZCAT16,EP,24,0.015367767743986453
NSGAII,ZCAT16,EP,25,0.014370344723579787
NSGAII,ZCAT16,EP,26,0.013863719231488547
NSGAII,ZCAT16,EP,27,0.016431914045910267
NSGAII,ZCAT16,EP,28,0.012701115637433869
NSGAII,ZCAT16,EP,29,0.012468022684664126
NSGAII,ZCAT17,EP,0,0.010870680445299513
NSGAII,ZCAT17,EP,1,0.010010416505365743
NSGAII,ZCAT17,EP,2,0.013117946040281547
NSGAII,ZCAT17,EP,3,0.013779822139352749
NSGAII,ZCAT17,EP,4,0.009935694206910442
NSGAII,ZCAT17,EP,5,0.021725779098758724
NSGAII,ZCAT17,EP,6,0.014175692577710702
NSGAII,ZCAT17,EP,7,0.012330820053095479
NSGAII,ZCAT17,EP,8,0.01728887262919998
NSGAII,ZCAT17,EP,9,0.012023796250806157
NSGAII,ZCAT17,EP,10,0.013400228896572913
NSGAII,ZCAT17,EP,11,0.013944424740903683
NSGAII,ZCAT17,EP,12,0.014286680318067041
NSGAII,ZCAT17,EP,13,0.01137534955481985
NSGAII,ZCAT17,EP,14,0.013759233690950723
NSGAII,ZCAT17,EP,15,0.012829376584220703
NSGAII,ZCAT17,EP,16,0.01596820927163463
NSGAII,ZCAT17,EP,17,0.011393994863000662
NSGAII,ZCAT17,EP,18,0.012726300389168166
NSGAII,ZCAT17,EP,19,0.015155572925518307
NSGAII,ZCAT17,EP,20,0.015169379137038502
NSGAII,ZCAT17,EP,21,0.01294451638652011
NSGAII,ZCAT17,EP,22,0.014692656515718022
NSGAII,ZCAT17,EP,23,0.013900744248228791
NSGAII,ZCAT17,EP,24,0.00968589935697925
NSGAII,ZCAT17,EP,25,0.011114770198626306
NSGAII,ZCAT17,EP,26,0.014124666741687303
NSGAII,ZCAT17,EP,27,0.01283237917959379
NSGAII,ZCAT17,EP,28,0.01224210155093855
NSGAII,ZCAT17,EP,29,0.018754590024941092
